method,rows,exact_top1,exact_any,top_3_accuracy,top_5_accuracy,mean_fuzzy_similarity,mean_semantic_similarity,mean_mrr,avg_time_seconds
llm_expansion_retrieval_llama3.2_3b_full,982,0.554989816700611,0.8329938900203666,0.7718940936863544,0.8329938900203666,0.9185264161668687,0.9151351339052869,0.6649355057705363,0.7077957819047139
llm_rerank_llama3.2_3b_full,982,0.5845213849287169,0.8034623217922607,0.7627291242362525,0.8034623217922607,0.8995741466183407,0.8995593766664779,0.6738289205702648,1.4336947591144538
embedding_output_index_full,982,0.5437881873727087,0.8004073319755601,0.7413441955193483,0.8004073319755601,0.8954307339692441,0.8941279848745423,0.6451459606245756,0.002416440280051921
