method,rows,exact_top1,exact_any,top_3_accuracy,top_5_accuracy,mean_fuzzy_similarity,mean_semantic_similarity,mean_mrr,avg_time_seconds
mas_v3_safe_hybrid_llama3.2_3b_limit_100,100,0.4,0.84,0.72,0.84,0.9324210235523652,0.9268775030970573,0.5646666666666667,2.4010474252700806
embedding_limit_100,100,0.69,0.87,0.81,0.87,0.9222601531282423,0.9171830399334431,0.759,0.023299341201782228
mas_langgraph_llama3.2_3b_limit_100,100,0.33,0.78,0.67,0.78,0.9016695465745806,0.8929848578572274,0.49950000000000006,0.8628329730033875
mas_v2_llm_ranker_llama3.2_3b_limit_100,100,0.39,0.68,0.56,0.68,0.8823839620326208,0.8881486102938652,0.49099999999999994,3.6924500608444215
llm_llama3.2_3b_limit_100,100,0.17,0.26,0.22,0.26,0.7499693039941572,0.7855835261940957,0.20116666666666666,0.6389902544021606
same_term_limit_100,100,0.0,0.0,0.0,0.0,0.552563417207835,0.6953046328574419,0.0,5.054473876953125e-07
